year,annual-average-temperature
1987,8.5
1988,10.1
1989,10.4
1990,10.6
1991,9.5
1992,10.2
1993,9.6
1994,10.7
1995,10.1
1996,8.3
1997,10.0
1998,10.1
1999,10.7
2000,10.9
2001,10.2
2002,10.6
2003,10.7
2004,10.0
2005,10.3
2006,10.0
2007,10.2
2008,9.8
2009,9.6
2010,8.5
2011,10.3
2012,9.7
2013,9.3
2014,10.9
2015,10.6
2016,10.1
