year,annual-estival-days
1987,24
1988,32
1989,49
1990,35
1991,35
1992,49
1993,42
1994,47
1995,54
1996,29
1997,46
1998,35
1999,54
2000,46
2001,45
2002,38
2003,77
2004,38
2005,48
2006,49
2007,30
2008,34
2009,35
2010,40
2011,48
2012,33
2013,46
2014,35
2015,47
2016,51
