year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,150,215,156,162
1988,258,85,161,204
1989,133,156,170,170
1990,68,99,119,111
1991,119,130,92,187
1992,134,195,204,183
1993,105,127,213,240
1994,185,190,179,167
1995,241,107,257,89
1996,75,143,159,192
1997,106,138,80,166
1998,91,218,202,251
1999,148,121,194,124
2000,122,114,281,151
2001,219,141,159,176
2002,179,135,267,249
2003,100,133,123,99
2004,130,156,198,137
2005,114,233,188,87
2006,134,184,213,127
2007,176,206,274,121
2008,128,179,188,99
2009,112,203,146,210
2010,122,147,235,126
2011,93,81,184,134
2012,92,211,176,172
2013,78,202,119,208
2014,79,165,226,145
2015,112,85,183,133
2016,167,169,85,104
