year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,140,455,501,113
1988,175,356,538,126
1989,153,406,538,155
1990,133,383,474,103
1991,123,418,468,105
1992,156,419,520,126
1993,157,412,546,118
1994,132,390,459,107
1995,185,488,566,156
1996,164,443,523,139
1997,175,428,496,141
1998,164,411,556,135
1999,166,477,563,129
2000,142,392,472,118
2001,136,424,485,126
2002,144,445,499,129
2003,157,474,550,124
2004,141,438,561,152
2005,151,475,544,133
2006,153,493,574,142
2007,175,413,571,139
2008,179,421,558,137
2009,172,511,602,162
2010,119,380,488,113
2011,131,431,479,138
2012,170,403,488,116
2013,124,390,495,129
2014,172,479,537,141
2015,169,501,577,135
2016,166,444,590,130
