year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,142,68,83,165
1988,86,228,9,117
1989,40,141,48,220
1990,60,55,76,124
1991,125,50,26,97
1992,19,146,62,109
1993,48,120,23,193
1994,45,123,14,68
1995,51,78,29,147
1996,111,106,39,175
1997,87,98,75,250
1998,95,136,89,32
1999,56,108,40,154
2000,32,124,26,202
2001,110,27,31,52
2002,61,88,15,120
2003,103,54,11,214
2004,141,98,41,109
2005,40,20,4,142
2006,99,53,17,234
2007,60,156,27,96
2008,46,164,32,133
2009,95,34,9,190
2010,230,129,62,173
2011,126,116,4,141
2012,13,104,91,179
2013,252,131,96,194
2014,115,77,38,201
2015,75,54,24,81
2016,117,134,8,166
