year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,39,103,4
1988,29,101,4
1989,37,102,4
1990,32,105,4
1991,27,102,1
1992,31,95,4
1993,37,105,4
1994,32,104,3
1995,26,109,4
1996,31,111,4
1997,36,112,3
1998,32,102,4
1999,28,102,4
2000,26,105,4
2001,33,106,4
2002,39,104,4
2003,26,104,4
2004,32,102,4
2005,26,113,3
2006,25,111,3
2007,47,109,5
2008,31,104,3
2009,40,105,3
2010,29,102,4
2011,31,101,3
2012,26,107,3
2013,30,102,4
2014,31,103,4
2015,37,103,4
2016,43,110,4
2016
2017,42,108,3
2018,27,100,4
2019,36,100,2
2020,19,104,4
2021,25,100,4
2022,21,101,4
2023,23,100,4
2024,31,109,3
2025,27,103,3
2026,23,110,3
2027,33,105,4
2028,26,104,4
2029,30,102,4
2030,18,110,4
2031,36,107,4
2032,29,96,4
2033,31,91,4
2034,24,99,3
2035,27,93,4
2036,30,107,3
2037,23,101,3
2038,26,95,3
2039,27,97,4
2040,30,9,4
2041,30,100,4
2042,23,88,4
2043,25,93,3
2044,26,107,4
2045,32,90,3
2046,27,109,4
