year,A1,A2,A3
,label A1,label A2,label A3
1987,90,1738,810
1988,69,1745,579
1989,83,1835,693
1990,81,1777,653
1991,59,1566,589
1992,87,1650,643
1993,62,1948,579
1994,66,1671,529
1995,60,1699,496
1996,82,1953,648
1997,68,1791,505
1998,43,1830,482
1999,83,1797,624
2000,73,1755,627
2001,61,1770,585
2002,91,1888,804
2003,90,1653,724
2004,68,1892,568
2005,84,1759,687
2006,57,1796,531
2007,88,2047,692
2008,76,1799,671
2009,83,1852,641
2010,76,1732,666
2011,61,1733,569
2012,85,1793,737
2013,67,1717,527
2014,83,1610,618
2015,88,1954,702
2016,62,1963,575
2016
2017,111,1708,932
2018,105,1630,826
2019,125,1662,991
2020,106,1679,823
2021,124,1476,909
2022,86,1522,877
2023,110,1658,847
2024,103,1630,868
2025,93,1688,798
2026,120,1861,877
2027,102,1860,841
2028,111,1612,854
2029,94,1754,864
2030,108,1707,967
2031,104,1953,780
2032,115,1539,963
2033,109,1554,891
2034,122,1497,965
2035,111,1445,859
2036,100,1686,847
2037,125,1544,1028
2038,113,1489,890
2039,126,1565,1044
2040,95,1637,705
2041,87,1645,686
2042,115,1526,972
2043,93,1533,814
2044,109,1723,1051
2045,101,1684,847
2046,121,1594,980

min,,1500
max,,3000
steps,,11
decimals
