year,annual-precipitations
1987,831
1988,841
1989,668
1990,608
1991,822
1992,625
1993,999
1994,982
1995,781
1996,655
1997,744
1998,1095
1999,793
2000,785
2001,1015
2002,978
2003,566
2004,923
2005,764
2006,877
2007,1056
2008,997
2009,829
2010,858
2011,979
2012,917
2013,844
2014,868
2015,977
2016,807
