year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-1.3,10.6,15.1,6.3
1988,3.5,12.0,15.7,6.0
1989,5.4,11.8,16.2,5.9
1990,6.0,12.2,15.5,6.2
1991,2.6,9.8,16.8,5.5
1992,3.9,12.8,16.6,4.8
1993,2.6,12.7,14.2,4.3
1994,2.5,11.9,17.5,6.6
1995,3.2,11.0,17.3,4.5
1996,-1.5,10.9,15.3,4.5
1997,2.7,11.2,17.4,5.0
1998,5.1,12.7,15.2,4.2
1999,3.6,12.1,18.1,6.0
2000,4.3,13.3,15.3,7.5
2001,2.1,11.4,16.6,6.3
2002,4.8,12.9,17.7,4.3
2003,1.9,12.8,17.5,5.4
2004,2.6,11.6,16.1,6.1
2005,2.3,11.8,16.1,6.4
2006,0.0,11.9,18.2,8.9
2007,5.4,13.2,15.9,5.9
2008,4.6,12.2,16.2,6.3
2009,2.2,12.7,17.1,5.9
2010,0.0,11.1,16.8,3.3
2011,2.3,13.4,16.5,6.8
2012,3.0,11.4,15.9,5.4
2013,0.2,11.5,16.3,7.3
2014,4.6,12.8,17.2,7.9
2015,3.6,10.9,16.3,8.4
2016,3.0,12.9,17.2,5.9
