year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,76,19,84,145
1988,245,-130,1,138
1989,65,-122,-8,91
1990,50,-101,-52,100
1991,113,-23,-41,182
1992,107,-216,-136,137
1993,126,-71,157,210
1994,184,-75,31,183
1995,239,-110,-50,22
1996,-3,-28,-111,198
1997,53,-49,-48,113
1998,89,7,27,357
1999,137,-121,-79,229
2000,194,-59,-69,94
2001,119,-43,126,170
2002,173,-17,-1,175
2003,35,-127,-166,106
2004,183,-44,80,122
2005,103,-99,0,152
2006,90,-44,16,177
2007,229,-71,112,162
2008,169,-173,104,242
2009,106,-104,-39,226
2010,91,-129,97,202
2011,93,-168,183,219
2012,116,-43,64,189
2013,78,33,-56,186
2014,78,-62,-49,238
2015,165,-97,47,235
2016,174,-37,-44,84
