year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,127,217,291,196
1988,303,124,224,191
1989,134,151,239,144
1990,133,136,187,153
1991,175,187,225,234
1992,179,104,153,189
1993,189,195,359,256
1994,243,170,323,245
1995,322,138,249,73
1996,56,203,143,253
1997,122,211,233,179
1998,175,254,257,410
1999,197,125,193,278
2000,255,203,161,167
2001,180,211,388,235
2002,252,236,261,229
2003,108,165,134,160
2004,246,182,324,172
2005,168,162,232,202
2006,134,203,304,236
2007,310,191,341,214
2008,243,120,344,290
2009,155,172,226,277
2010,144,114,351,249
2011,160,130,411,279
2012,183,197,303,235
2013,129,267,206,243
2014,153,192,227,297
2015,234,148,302,293
2016,238,230,206,133
